Date,grand_total_weight,actual_cost,rate_landfill,hypothetical_cost,monthly_savings,cumulative_savings
2016-01-01,243308.0,19077.22,0.12328169165265304,29995.421832623706,10918.201832623705,10918.201832623705
2016-02-01,262417.0,20532.769999999997,0.12577936774476162,33006.64434547711,12473.87434547711,23392.076178100815
2016-03-01,283400.0,21404.63,0.10886915858320957,30853.519542481594,9448.889542481593,32840.965720582404
2016-04-01,259076.0,21602.27,0.12275840944531076,31803.75768545333,10201.487685453329,43042.45340603573
2016-05-01,290200.0,22918.83,0.11658320434611065,33832.44590124131,10913.615901241312,53956.069307277045
2016-06-01,323340.0,37389.92,0.17271521261969658,55845.73684845269,18455.81684845269,72411.88615572974
2016-07-01,204576.0,15161.710000000001,0.11791778600030413,24123.148988798217,8961.438988798216,81373.32514452795
2016-08-01,208856.0,14586.0,0.12062613943546867,25193.492977934246,10607.492977934246,91980.8181224622
2016-09-01,250980.0,22848.309999999998,0.14320085606141003,35940.55085429269,13092.240854292693,105073.0589767549
2016-11-01,307824.0,23701.440000000002,0.1191343406200886,36672.40926703815,12970.969267038148,118044.02824379304
2016-12-01,310728.0,28439.73,0.1333723596272989,41442.526562271334,13002.796562271335,131046.82480606438
2017-01-01,224644.0,16112.46,0.14116353435084553,31711.541010711342,15599.081010711343,146645.90581677572
2017-02-01,233996.0,16009.31,0.12809609427849183,29973.973676789974,13964.663676789974,160610.56949356568
2017-03-01,247084.0,17957.370000000003,0.130057003257329,32135.004592833877,14177.634592833874,174788.20408639955
2017-04-01,234212.0,16502.28,0.13286291052612523,31118.088000144842,14615.808000144843,189404.0120865444
2017-05-01,244672.0,17814.74,0.13143577922496616,32158.65497453092,14343.914974530919,203747.92706107532
2017-06-01,361472.0,34050.04,0.14560059148419444,52630.53700497473,18580.497004974728,222328.42406605004
2017-07-01,235312.0,13768.55,0.13752910264085677,32362.248200625287,18593.698200625287,240922.12226667532
2017-08-01,234352.0,13303.649999999998,0.14393153883128476,33730.643988189244,20426.993988189246,261349.11625486455
2017-09-01,283435.52,19909.449999999997,0.1424601661157725,40378.271262310365,20468.82126231037,281817.9375171749
2017-10-01,255131.0,20617.07,0.14766146570471883,37673.01740671062,17055.94740671062,298873.8849238856
2017-11-01,291378.0,19751.73,0.13665116462381272,39817.1430457573,20065.4130457573,318939.29796964285
2017-12-01,253966.0,21257.27,0.11875087351502445,30158.6843431167,8901.4143431167,327840.71231275954
2018-01-01,275067.0,24337.0,0.1229661619541576,33823.93327024427,9486.93327024427,337327.6455830038
